variant,n,median_ms,ns_per_op,speedup_vs_naive,speedup_vs_union_rank
Naive,1000,0.921000,184.2,,
UnionRank,1000,0.243100,48.6,3.79,
FullTarjan,1000,0.195000,39.0,4.72,1.25
Naive,5000,17.353700,694.1,,
UnionRank,5000,0.517700,20.7,33.52,
FullTarjan,5000,0.314000,12.6,55.27,1.65
Naive,10000,71.596300,1431.9,,
UnionRank,10000,0.985900,19.7,72.62,
FullTarjan,10000,0.591600,11.8,121.02,1.67
Naive,50000,4762.014900,19048.1,,
UnionRank,50000,5.606900,22.4,849.31,
FullTarjan,50000,3.204900,12.8,1485.85,1.75
Naive,100000,21464.129600,42928.3,,
UnionRank,100000,12.465600,24.9,1721.87,
FullTarjan,100000,6.544700,13.1,3279.62,1.90
UnionRank,500000,85.158500,34.1,,
FullTarjan,500000,39.417700,15.8,,2.16
UnionRank,1000000,195.277200,39.1,,
FullTarjan,1000000,93.616900,18.7,,2.09
UnionRank,2000000,448.088200,44.8,,
FullTarjan,2000000,237.888500,23.8,,1.88
UnionRank,5000000,1821.747100,72.9,,
FullTarjan,5000000,925.994800,37.0,,1.97
