variant,n,median_time_ms,std_time_ms,avg_accesses,std_accesses
Naive,500,0.800300,1.015628,74397,0
UnionRank,500,0.551400,0.102159,8058,0
FullTarjan,500,0.548400,0.153812,7320,0
Naive,1000,2.011200,0.845565,382545,0
UnionRank,1000,3.388000,1.156739,18465,0
FullTarjan,1000,2.525400,0.295609,16103,0
Naive,5000,16.060300,4.517235,9286712,0
UnionRank,5000,2.453000,0.130257,101252,0
FullTarjan,5000,2.499500,0.009685,84404,0
Naive,10000,57.713200,0.653061,36653056,0
UnionRank,10000,5.133200,0.141530,198255,0
FullTarjan,10000,5.062800,0.172304,167658,0
Naive,50000,2655.081600,142.941187,979078242,0
UnionRank,50000,30.590700,0.969891,1027840,0
FullTarjan,50000,29.437400,1.180773,850929,0
Naive,100000,23290.647800,323.115380,4155301045,0
UnionRank,100000,79.065100,10.046799,2122778,0
FullTarjan,100000,71.458700,4.375926,1749645,0
UnionRank,500000,452.315300,46.445986,10728630,0
FullTarjan,500000,392.933600,22.148398,8762769,0
UnionRank,1000000,1042.347000,74.779883,21715038,0
FullTarjan,1000000,917.613500,43.619548,17623684,0
UnionRank,1500000,1608.162300,158.680090,32356756,0
FullTarjan,1500000,1377.276900,37.065081,26406091,0
UnionRank,2000000,2363.701500,164.751456,43113170,0
FullTarjan,2000000,2096.134600,75.581815,35111948,0
UnionRank,5000000,7031.429600,77.640044,108245688,0
FullTarjan,5000000,6126.462400,120.422758,88110395,0
