variant,n,median_time_ms,std_time_ms,avg_accesses,std_accesses
UnionRank,500,0.692600,0.173604,81163,0
FullTarjan,500,0.478000,0.102688,57298,0
UnionRank,1000,1.984900,22.945244,166321,0
FullTarjan,1000,3.670400,0.071840,116067,0
UnionRank,5000,8.403500,0.520690,898531,0
FullTarjan,5000,5.078100,0.064288,584377,0
UnionRank,10000,15.653100,0.350186,1745540,0
FullTarjan,10000,9.886300,0.186020,1167716,0
UnionRank,50000,92.287400,19.457526,8952397,0
FullTarjan,50000,57.303000,6.642417,5851279,0
UnionRank,100000,212.581700,17.528217,17917882,0
FullTarjan,100000,115.067000,7.393988,11750058,0
UnionRank,500000,1076.057700,125.518296,90741539,0
FullTarjan,500000,621.882400,342.439835,58764978,0
UnionRank,1000000,3924.890700,704.214402,182935244,0
FullTarjan,1000000,2434.901600,820.470863,117627920,0
UnionRank,1500000,4879.249600,183.060447,272247120,0
FullTarjan,1500000,2048.285100,361.027995,176412541,0
UnionRank,2000000,8235.441500,1652.967231,364383596,0
FullTarjan,2000000,4643.475900,578.832455,235120883,0
UnionRank,5000000,13405.312400,199834.724489,910663198,0
FullTarjan,5000000,7424.490900,129.282345,588131377,0
